"OGT group abbrevations: E:Eukaryotes,BM:Bacterial mesophilic, THP:Thermophilic, and AM:Archaea mesophilic",,,,,,,,,,
species,Observed OGT group,Predicted_probability of OGT group,,,,Predicted OGT group,Methods,Obseved Species Kingdom,Observed OGT,Observed OGT group
Shewanella halifaxensis HAW-EB4,BM,0.000187978,0.977453756,0.001863237,0.020495029,BM,RLR,Bacteria,15,Mesophiles
Siminovitchia thermophila,THP,0.019683041,0.059866831,0.01259502,0.907855108,THP,RLR,Bacteria,50,Thermophiles
Sinorhizobium fredii CCBAU 25509,BM,0.001058605,0.780900125,0.000335129,0.217706141,BM,RLR,Bacteria,25,Mesophiles
Spirochaeta thermophila DSM 6578,THP,0.00023123,0.835151448,6.36E-05,0.164553713,BM,RLR,Bacteria,65,Hyperthermophiles
Spiroplasma alleghenense,BM,0.000187477,0.874646414,0.027847058,0.09731905,BM,RLR,Bacteria,30,Mesophiles
Spiroplasma apis B31,BM,0.000174772,0.862538341,0.026429021,0.110857866,BM,RLR,Bacteria,30,Mesophiles
Spirosoma aerolatum,BM,0.002045739,0.513190614,0.044509633,0.440254014,BM,RLR,Bacteria,25,Mesophiles
Spirosoma endbachense,BM,0.000962557,0.353349919,0.014609145,0.631078379,THP,RLR,Bacteria,25,Mesophiles
Stieleria neptunia,BM,0.002012581,0.67990193,0.033171491,0.284913997,BM,RLR,Bacteria,28,Mesophiles
Streptobacillus moniliformis DSM 12112,BM,0.000877616,0.806812339,0.003457567,0.188852478,BM,RLR,Bacteria,37,Mesophiles
Streptomyces alboniger,BM,6.31E-05,0.917188762,1.88E-05,0.082729274,BM,RLR,Bacteria,28,Mesophiles
Streptomyces angustmyceticus,BM,0.000150019,0.812203108,8.09E-06,0.18763878,BM,RLR,Bacteria,29,Mesophiles
Streptomyces atratus,BM,5.17E-05,0.894630633,1.43E-05,0.10530337,BM,RLR,Bacteria,28,Mesophiles
Streptomyces aurantiacus,BM,0.000106986,0.777738172,1.11E-05,0.22214377,BM,RLR,Bacteria,28,Mesophiles
Streptomyces clavuligerus,BM,3.51E-05,0.87995324,9.48E-06,0.120002228,BM,RLR,Bacteria,28,Mesophiles
Streptomyces davaonensis JCM 4913,BM,4.89E-05,0.917937171,1.55E-05,0.081998441,BM,RLR,Bacteria,28,Mesophiles
Streptomyces griseus subsp. griseus NBRC 13350,BM,5.37E-05,0.888503881,1.53E-05,0.111427143,BM,RLR,Bacteria,28,Mesophiles
Streptomyces rectiverticillatus,BM,3.83E-05,0.907467631,7.92E-06,0.092486098,BM,RLR,Bacteria,28,Mesophiles
Symbiobacterium thermophilum IAM 14863,THP,0.009698784,0.370780683,0.011311654,0.608208879,THP,RLR,Bacteria,60,Thermophiles
Tepidibacter thalassicus DSM 15285,THP,0.008503415,0.598792005,0.002918181,0.389786399,BM,RLR,Bacteria,50,Thermophiles
Tepidiphilus succinatimandens,THP,0.116022746,0.216802145,0.002611774,0.664563334,THP,RLR,Bacteria,55,Thermophiles
Thalassomonas viridans,BM,0.000596287,0.81507974,0.001428668,0.182895305,BM,RLR,Bacteria,25,Mesophiles
Thermacetogenium phaeum DSM 12270,THP,0.010837599,0.377462064,0.009201156,0.60249918,THP,RLR,Bacteria,55,Thermophiles
Thermaerobacter marianensis DSM 12885,THP,0.000621085,0.33464508,0.000105211,0.664628625,THP,RLR,Bacteria,75,Hyperthermophiles
Thermoactinomyces vulgaris,THP,0.005525497,0.594686793,0.007368743,0.392418966,BM,RLR,Bacteria,50,Thermophiles
Thermoanaerobacter kivui,THP,0.001800261,0.512789846,0.003973607,0.481436286,BM,RLR,Bacteria,60,Thermophiles
Thermoanaerobacterium butyriciformans,THP,0.003434104,0.309827872,0.002455531,0.684282493,THP,RLR,Bacteria,55,Thermophiles
Thermoanaerobaculum aquaticum,THP,0.002488141,0.300466873,0.001347627,0.695697359,THP,RLR,Bacteria,60,Thermophiles
Thermocladium modestius,THP,0.261166109,0.005249155,0.000243186,0.73334155,THP,RLR,Archaea,75,Hyperthermophiles
Thermoclostridium caenicola,THP,0.002683034,0.607717821,0.004059692,0.385539453,BM,RLR,Bacteria,56,Thermophiles
Thermoclostridium stercorarium subsp. stercorarium DSM 8532,THP,0.001682262,0.655052401,0.004090252,0.339175085,BM,RLR,Bacteria,60,Thermophiles
Thermodesulfobacterium geofontis OPF15,THP,0.00268695,0.053594445,0.001745181,0.941973424,THP,RLR,Bacteria,80,Hyperthermophiles
Thermodesulfobacterium hydrogeniphilum,THP,0.007121362,0.088170758,0.002564594,0.902143286,THP,RLR,Bacteria,70,Hyperthermophiles
Thermodesulfobium acidiphilum,THP,0.00728177,0.526659375,0.005502541,0.460556315,BM,RLR,Bacteria,55,Thermophiles
Thermodesulfovibrio thiophilus DSM 17215,THP,0.004367915,0.558246704,0.00294309,0.434442291,BM,RLR,Bacteria,55,Thermophiles
Thermogymnomonas acidicola,THP,0.794762937,0.003588266,0.006016342,0.195632455,AM,RLR,Archaea,60,Thermophiles
Thermomonospora amylolytica,BM,0.000813768,0.611511745,0.00011702,0.387557467,BM,RLR,Bacteria,45,Mesophiles
Thermonema lapsum,THP,0.011319027,0.76154166,0.00043165,0.226707663,BM,RLR,Bacteria,60,Thermophiles
Thermosipho japonicus,THP,0.0086583,0.080475153,0.004341937,0.906524611,THP,RLR,Bacteria,70,Hyperthermophiles
Thermosulfurimonas dismutans,THP,0.001812918,0.051387451,0.001378426,0.945421205,THP,RLR,Bacteria,70,Hyperthermophiles
Thermosynechococcus elongatus PKUAC-SCTE542,THP,0.000160342,0.944971145,0.000176992,0.054691521,BM,RLR,Bacteria,50,Thermophiles
Thermotoga maritima MSB8,THP,0.004197377,0.070609518,0.002895816,0.922297288,THP,RLR,Bacteria,80,Hyperthermophiles
Thermovenabulum gondwanense,THP,0.004783006,0.19488725,0.002074125,0.798255619,THP,RLR,Bacteria,65,Hyperthermophiles
Thermus antranikianii DSM 12462,THP,0.00037022,0.379964047,0.000703149,0.618962584,THP,RLR,Bacteria,70,Hyperthermophiles
Thermus scotoductus,THP,0.00036356,0.243317631,0.000484787,0.755834023,THP,RLR,Bacteria,65,Hyperthermophiles
Thiomicrorhabdus arctica DSM 13458,BM,0.000856831,0.915874794,0.002128128,0.081140247,BM,RLR,Bacteria,15,Mesophiles
Torulaspora delbrueckii,E,0.039082242,0.003740993,0.947552479,0.009624286,E,RLR,Eukaryota,25,Mesophiles
Torulaspora globosa,E,0.035539899,0.003813858,0.949276007,0.011370235,E,RLR,Eukaryota,25,Mesophiles
Trichophyton equinum CBS 127.97,E,0.006935161,0.00084006,0.979785666,0.012439113,E,RLR,Eukaryota,30,Mesophiles
Trichophyton interdigitale,E,0.006219118,7.27E-06,0.993676423,9.72E-05,E,RLR,Eukaryota,30,Mesophiles
Uncinocarpus reesii 1704,E,0.007013893,0.000718494,0.989885785,0.002381828,E,RLR,Eukaryota,24,Mesophiles
Ureibacillus thermophilus,THP,0.045068717,0.188753048,0.034804147,0.731374089,THP,RLR,Bacteria,50,Thermophiles
Ustilago hordei,E,0.002714746,0.000507358,0.996672623,0.000105273,E,RLR,Eukaryota,24,Mesophiles
Verticillium nonalfalfae,E,0.001162192,0.000158399,0.998235647,0.000443761,E,RLR,Eukaryota,25,Mesophiles
Vibrio penaeicida,BM,0.001423624,0.863272295,0.001844891,0.13345919,BM,RLR,Bacteria,22,Mesophiles
Wallemia mellicola CBS 633.66,E,0.005502398,0.000632396,0.991222351,0.002642855,E,RLR,Eukaryota,22,Mesophiles
Weissella viridescens,BM,0.008652142,0.609616601,0.031093112,0.350638145,BM,RLR,Bacteria,30,Mesophiles
Westerdykella ornata,E,0.003398163,0.000156547,0.995723372,0.000721917,E,RLR,Eukaryota,24,Mesophiles
Wickerhamiella sorbophila,E,0.012014461,8.36E-06,0.98785326,0.000123923,E,RLR,Eukaryota,25,Mesophiles
Wickerhamomyces ciferrii,E,0.003300722,0.00010335,0.985004752,0.011591175,E,RLR,Eukaryota,25,Mesophiles
Zygosaccharomyces parabailii,E,0.001318808,0.000238326,0.998272658,0.000170208,E,RLR,Eukaryota,25,Mesophiles
Zygosaccharomyces rouxii,E,0.013174602,0.002011358,0.981759366,0.003054675,E,RLR,Eukaryota,25,Mesophiles
Absidia repens,E,0,0,1,0,E,RF,Eukaryota,24,Mesophiles
Achromobacter spanius,BM,0,0.928,0,0.072,BM,RF,Bacteria,37,Mesophiles
Acidianus brierleyi,THP,0.01,0.03,0,0.96,THP,RF,Archaea,72,Hyperthermophiles
Acidilobus saccharovorans 345-15,THP,0,0.002,0,0.998,THP,RF,Archaea,80,Hyperthermophiles
Acremonium chrysogenum ATCC 11550,E,0.002,0.014,0.974,0.01,E,RF,Eukaryota,22,Mesophiles
Actinotignum urinale,BM,0.002,0.796,0,0.202,BM,RF,Bacteria,37,Mesophiles
Alicyclobacillus herbarius DSM 13609,THP,0,0.102,0,0.898,THP,RF,Bacteria,55,Thermophiles
Alicyclobacillus mali NBRC 102425,THP,0.006,0.082,0.002,0.91,THP,RF,Bacteria,50,Thermophiles
Alternaria alternata,E,0,0,1,0,E,RF,Eukaryota,26,Mesophiles
Amycolatopsis mediterranei RB,BM,0,0.962,0,0.038,BM,RF,Bacteria,28,Mesophiles
Amycolatopsis roodepoortensis,BM,0,0.984,0,0.016,BM,RF,Bacteria,28,Mesophiles
Anaerolinea thermolimosa,THP,0.002,0.396,0,0.602,THP,RF,Bacteria,50,Thermophiles
Anoxybacillus tepidamans,THP,0,0.064,0,0.936,THP,RF,Bacteria,53,Thermophiles
Anoxybacillus vitaminiphilus,THP,0,0.054,0.002,0.944,THP,RF,Bacteria,55,Thermophiles
Archaeoglobus veneficus SNP6,THP,0.008,0.018,0,0.974,THP,RF,Archaea,75,Hyperthermophiles
Ardenticatena maritima,THP,0,0.22,0,0.78,THP,RF,Bacteria,65,Hyperthermophiles
Aspergillus ellipticus CBS 707.79,E,0,0,1,0,E,RF,Eukaryota,24,Mesophiles
Aspergillus ibericus CBS 121593,E,0,0,1,0,E,RF,Eukaryota,25,Mesophiles
Aspergillus japonicus CBS 114.51,E,0,0,1,0,E,RF,Eukaryota,25,Mesophiles
Aspergillus lentulus,E,0,0,1,0,E,RF,Eukaryota,25,Mesophiles
Aspergillus thermomutatus,E,0,0.002,0.998,0,E,RF,Eukaryota,25,Mesophiles
Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896,BM,0,0.868,0,0.132,BM,RF,Bacteria,17,Mesophiles
Bacillus thuringiensis serovar berliner ATCC 10792,BM,0.014,0.82,0.002,0.164,BM,RF,Bacteria,30,Mesophiles
Bacillus toyonensis,BM,0.002,0.978,0.002,0.018,BM,RF,Bacteria,30,Mesophiles
Bartonella alsatica,BM,0,0.962,0,0.038,BM,RF,Bacteria,37,Mesophiles
Bartonella ancashensis,BM,0,0.94,0,0.06,BM,RF,Bacteria,30,Mesophiles
Bartonella bovis 91-4,BM,0.048,0.48,0.016,0.456,BM,RF,Bacteria,37,Mesophiles
Beauveria brongniartii RCEF 3172,E,0,0,1,0,E,RF,Eukaryota,25,Mesophiles
Bifiguratus adelaidae,E,0.004,0.016,0.974,0.006,E,RF,Eukaryota,25,Mesophiles
Bradyrhizobium erythrophlei,BM,0,0.986,0,0.014,BM,RF,Bacteria,28,Mesophiles
Bradyrhizobium guangxiense,BM,0,0.992,0,0.008,BM,RF,Bacteria,28,Mesophiles
Brevibacillus brevis,BM,0,0.28,0.038,0.682,THP,RF,Bacteria,30,Mesophiles
Brockia lithotrophica,THP,0,0.036,0,0.964,THP,RF,Bacteria,63,Hyperthermophiles
Burkholderia gladioli,BM,0,0.954,0,0.046,BM,RF,Bacteria,30,Mesophiles
Burkholderia lata,BM,0,0.98,0,0.02,BM,RF,Bacteria,29,Mesophiles
Burkholderia metallica,BM,0,0.994,0,0.006,BM,RF,Bacteria,28,Mesophiles
Burkholderia oklahomensis C6786,BM,0,0.908,0,0.092,BM,RF,Bacteria,32,Mesophiles
Burkholderia plantarii,BM,0.002,0.964,0,0.034,BM,RF,Bacteria,30,Mesophiles
Burkholderia territorii,BM,0,0.988,0,0.012,BM,RF,Bacteria,30,Mesophiles
Calderihabitans maritimus,THP,0,0.024,0,0.976,THP,RF,Bacteria,65,Hyperthermophiles
Caldicellulosiruptor acetigenus DSM 7040,THP,0.01,0.078,0,0.912,THP,RF,Bacteria,70,Hyperthermophiles
Caldicellulosiruptor obsidiansis OB47,THP,0,0.01,0,0.99,THP,RF,Bacteria,75,Hyperthermophiles
Caldichromatium japonicum,THP,0,0.5,0,0.5,BM,RF,Bacteria,50,Thermophiles
Caldilinea aerophila DSM 14535 = NBRC 104270,THP,0,0.364,0,0.636,THP,RF,Bacteria,55,Thermophiles
Caloramator proteoclasticus DSM 10124,THP,0,0.31,0,0.69,THP,RF,Bacteria,55,Thermophiles
Candidatus Rhabdochlamydia porcellionis,BM,0.014,0.966,0,0.02,BM,RF,Bacteria,25,Mesophiles
Carboxydothermus ferrireducens DSM 11255,THP,0,0.008,0,0.992,THP,RF,Bacteria,65,Hyperthermophiles
Carboxydothermus pertinax,THP,0,0.006,0,0.994,THP,RF,Bacteria,65,Hyperthermophiles
Chaetomium globosum CBS 148.51,E,0,0.002,0.998,0,E,RF,Eukaryota,26,Mesophiles
Clostridium saccharoperbutylacetonicum N1-4(HMT),BM,0,0.872,0.002,0.126,BM,RF,Bacteria,37,Mesophiles
Coprothermobacter platensis DSM 11748,THP,0,0.026,0,0.974,THP,RF,Bacteria,55,Thermophiles
Corallococcus coralloides DSM 2259,BM,0,0.706,0,0.294,BM,RF,Bacteria,30,Mesophiles
Cryobacterium roopkundense,BM,0,0.888,0,0.112,BM,RF,Bacteria,15,Mesophiles
Cryobacterium soli,BM,0,0.902,0,0.098,BM,RF,Bacteria,15,Mesophiles
Daejeonella rubra,BM,0.006,0.952,0.002,0.04,BM,RF,Bacteria,15,Mesophiles
Deferribacter autotrophicus,THP,0.002,0.042,0,0.956,THP,RF,Bacteria,60,Thermophiles
Deferrisoma camini S3R1,THP,0,0.08,0,0.92,THP,RF,Bacteria,50,Thermophiles
Deinococcus marmoris DSM 12784,BM,0,0.754,0.004,0.242,BM,RF,Bacteria,15,Mesophiles
Delftia lacustris,BM,0,0.936,0.002,0.062,BM,RF,Bacteria,24,Mesophiles
Desulfohalotomaculum alkaliphilum DSM 12257,THP,0,0.116,0,0.884,THP,RF,Bacteria,50,Thermophiles
Desulfonema limicola,BM,0,0.562,0,0.438,BM,RF,Bacteria,30,Mesophiles
Desulfotomaculum nigrificans DSM 574,THP,0,0.114,0.004,0.882,THP,RF,Bacteria,55,Thermophiles
Desulfurispora thermophila DSM 16022,THP,0,0.048,0,0.952,THP,RF,Bacteria,50,Thermophiles
Desulfurococcus mucosus DSM 2162,THP,0,0.008,0,0.992,THP,RF,Archaea,85,Hyperthermophiles
Dictyostelium discoideum AX4,E,0,0.002,0.994,0.004,E,RF,Eukaryota,24,Mesophiles
Fervidobacterium nodosum Rt17-B1,THP,0,0.04,0,0.96,THP,RF,Bacteria,70,Hyperthermophiles
Fervidobacterium pennivorans DSM 9078,THP,0,0.006,0,0.994,THP,RF,Bacteria,65,Hyperthermophiles
Flavobacterium faecale,BM,0.01,0.964,0.004,0.022,BM,RF,Bacteria,18,Mesophiles
Francisella persica ATCC VR-331,BM,0.01,0.83,0.002,0.158,BM,RF,Bacteria,34,Mesophiles
Fusarium poae,E,0,0,1,0,E,RF,Eukaryota,25,Mesophiles
Geobacillus jurassicus NBRC 107829,THP,0.004,0.102,0.004,0.89,THP,RF,Bacteria,55,Thermophiles
Geobacillus kaustophilus HTA426,THP,0,0.038,0.002,0.96,THP,RF,Bacteria,55,Thermophiles
Geobacillus thermocatenulatus,THP,0,0.058,0,0.942,THP,RF,Bacteria,60,Thermophiles
Geobacillus thermodenitrificans,THP,0,0.056,0,0.944,THP,RF,Bacteria,55,Thermophiles
Geobacillus vulcani PSS1,THP,0,0.028,0,0.972,THP,RF,Bacteria,50,Thermophiles
Gimesia alba,BM,0.006,0.99,0,0.004,BM,RF,Bacteria,30,Mesophiles
Gimesia fumaroli,BM,0.016,0.934,0.004,0.046,BM,RF,Bacteria,28,Mesophiles
Glaciibacter superstes DSM 21135,BM,0.002,0.674,0,0.324,BM,RF,Bacteria,15,Mesophiles
Haladaptatus cibarius D43,AM,0.998,0,0,0.002,AM,RF,Archaea,37,Mesophiles
Haloarchaeobius iranensis,AM,1,0,0,0,AM,RF,Archaea,37,Mesophiles
Halobaculum halophilum,AM,0.992,0.008,0,0,AM,RF,Archaea,37,Mesophiles
Halobellus rufus,AM,0.98,0.006,0.002,0.012,AM,RF,Archaea,37,Mesophiles
Halococcus thailandensis JCM 13552,AM,0.968,0,0,0.032,AM,RF,Archaea,37,Mesophiles
Halogeometricum pallidum JCM 14848,AM,0.768,0.038,0.006,0.188,AM,RF,Archaea,37,Mesophiles
Halogranum rubrum,AM,0.986,0.01,0,0.004,AM,RF,Archaea,37,Mesophiles
Halomicrobium katesii DSM 19301,AM,0.996,0,0,0.004,AM,RF,Archaea,40,Mesophiles
Halomicrobium zhouii,AM,0.968,0.024,0,0.008,AM,RF,Archaea,37,Mesophiles
Halopelagius longus,AM,0.996,0,0,0.004,AM,RF,Archaea,37,Mesophiles
Halopenitus persicus,AM,0.994,0.004,0,0.002,AM,RF,Archaea,37,Mesophiles
Halorhabdus rudnickae,AM,0.996,0,0,0.004,AM,RF,Archaea,38,Mesophiles
Halorubrum depositum,AM,0.924,0.002,0,0.074,AM,RF,Archaea,37,Mesophiles
Halorubrum halodurans,AM,0.982,0,0,0.018,AM,RF,Archaea,37,Mesophiles
Halorubrum persicum,AM,0.998,0,0,0.002,AM,RF,Archaea,37,Mesophiles
Halorussus salinus,AM,1,0,0,0,AM,RF,Archaea,37,Mesophiles
Halosimplex halophilum,AM,0.992,0,0,0.008,AM,RF,Archaea,37,Mesophiles
Halosimplex litoreum,AM,0.996,0,0,0.004,AM,RF,Archaea,37,Mesophiles
Halosimplex pelagicum,AM,0.988,0.006,0,0.006,AM,RF,Archaea,37,Mesophiles
Haloterrigena longa,AM,1,0,0,0,AM,RF,Archaea,37,Mesophiles
Halovivax asiaticus JCM 14624,AM,0.982,0,0,0.018,AM,RF,Archaea,37,Mesophiles
Hanseniaspora osmophila,E,0,0,1,0,E,RF,Eukaryota,25,Mesophiles
Hymenobacter elongatus,BM,0.026,0.838,0.006,0.13,BM,RF,Bacteria,15,Mesophiles
Hymenobacter lapidarius,BM,0.018,0.866,0.004,0.112,BM,RF,Bacteria,15,Mesophiles
Ignicoccus islandicus DSM 13165,THP,0.012,0.008,0,0.98,THP,RF,Archaea,90,Hyperthermophiles
Janthinobacterium lividum,BM,0,0.958,0,0.042,BM,RF,Bacteria,25,Mesophiles
Kibdelosporangium phytohabitans,BM,0.002,0.98,0,0.018,BM,RF,Bacteria,28,Mesophiles
Kosmotoga pacifica,THP,0.002,0.004,0,0.994,THP,RF,Bacteria,70,Hyperthermophiles
Ktedonosporobacter rubrisoli,BM,0.002,0.732,0,0.266,BM,RF,Bacteria,28,Mesophiles
Kutzneria albida DSM 43870,BM,0,0.962,0,0.038,BM,RF,Bacteria,28,Mesophiles
Labilithrix luteola,BM,0.002,0.69,0.002,0.306,BM,RF,Bacteria,29,Mesophiles
Laceyella sacchari,THP,0,0.034,0,0.966,THP,RF,Bacteria,50,Thermophiles
Lachancea meyersii CBS 8951,E,0.002,0.004,0.994,0,E,RF,Eukaryota,25,Mesophiles
Marinithermus hydrothermalis DSM 14884,THP,0,0.022,0,0.978,THP,RF,Bacteria,70,Hyperthermophiles
Marinitoga hydrogenitolerans DSM 16785,THP,0,0.012,0,0.988,THP,RF,Bacteria,60,Thermophiles
Marinobacter psychrophilus,BM,0,0.786,0,0.214,BM,RF,Bacteria,18,Mesophiles
Massilia psychrophila,BM,0,0.912,0,0.088,BM,RF,Bacteria,15,Mesophiles
Meiothermus cateniformans,THP,0,0.106,0.006,0.888,THP,RF,Bacteria,55,Thermophiles
Meiothermus silvanus DSM 9946,THP,0,0.012,0,0.988,THP,RF,Bacteria,50,Thermophiles
Melittangium boletus DSM 14713,BM,0.002,0.676,0,0.322,BM,RF,Bacteria,29,Mesophiles
Mesorhizobium opportunistum WSM2075,BM,0,0.976,0,0.024,BM,RF,Bacteria,28,Mesophiles
Metallosphaera cuprina Ar-4,THP,0.004,0.018,0,0.978,THP,RF,Archaea,65,Hyperthermophiles
Methanimicrococcus blatticola,AM,0.692,0.014,0,0.294,AM,RF,Archaea,35,Mesophiles
Methanobacterium formicicum,AM,0.946,0.002,0.002,0.05,AM,RF,Archaea,37,Mesophiles
Methanobacterium petrolearium,AM,0.572,0.076,0,0.352,AM,RF,Archaea,35,Mesophiles
Methanobrevibacter boviskoreani JH1,AM,0.972,0,0,0.028,AM,RF,Archaea,37,Mesophiles
Methanobrevibacter ruminantium M1,AM,0.914,0.014,0,0.072,AM,RF,Archaea,37,Mesophiles
Methanocaldococcus bathoardescens,THP,0,0.002,0,0.998,THP,RF,Archaea,80,Hyperthermophiles
Methanocella conradii HZ254,THP,0.986,0,0,0.014,AM,RF,Archaea,50,Thermophiles
Methanocella paludicola SANAE,AM,0.988,0.008,0,0.004,AM,RF,Archaea,37,Mesophiles
Methanococcoides burtonii DSM 6242,AM,0.89,0.046,0.002,0.062,AM,RF,Archaea,21,Mesophiles
Methanococcus voltae,AM,0.856,0.014,0.002,0.128,AM,RF,Archaea,30,Mesophiles
Methanohalophilus mahii DSM 5219,AM,0.942,0.004,0,0.054,AM,RF,Archaea,37,Mesophiles
Methanolacinia paynteri,AM,0.976,0.002,0.002,0.02,AM,RF,Archaea,37,Mesophiles
Methanolacinia petrolearia DSM 11571,AM,0.97,0,0,0.03,AM,RF,Archaea,37,Mesophiles
Methanolobus profundi,AM,0.95,0.002,0,0.048,AM,RF,Archaea,30,Mesophiles
Methanolobus psychrotolerans,AM,0.958,0.002,0,0.04,AM,RF,Archaea,35,Mesophiles
Methanosarcina acetivorans C2A,AM,0.912,0,0,0.088,AM,RF,Archaea,37,Mesophiles
Methanosarcina flavescens,AM,0.734,0.004,0,0.262,AM,RF,Archaea,45,Mesophiles
Methanosarcina mazei Go1,AM,0.826,0.002,0,0.172,AM,RF,Archaea,37,Mesophiles
Methanosarcina spelaei,AM,0.854,0.008,0,0.138,AM,RF,Archaea,29,Mesophiles
Methanosarcina vacuolata Z-761,AM,0.762,0.006,0,0.232,AM,RF,Archaea,37,Mesophiles
Methanospirillum hungatei JF-1,AM,0.944,0.004,0.002,0.05,AM,RF,Archaea,37,Mesophiles
Methanothrix soehngenii GP6,AM,0.844,0.01,0,0.146,AM,RF,Archaea,37,Mesophiles
Methanothrix thermoacetophila PT,THP,0.618,0.08,0,0.302,AM,RF,Archaea,55,Thermophiles
Microlunatus soli,BM,0.002,0.912,0,0.086,BM,RF,Bacteria,28,Mesophiles
Micromonospora coriariae,BM,0,0.984,0,0.016,BM,RF,Bacteria,28,Mesophiles
Micromonospora inositola,BM,0,1,0,0,BM,RF,Bacteria,28,Mesophiles
Micromonospora viridifaciens,BM,0,0.974,0,0.026,BM,RF,Bacteria,28,Mesophiles
Murdochiella vaginalis,BM,0.022,0.51,0,0.468,BM,RF,Bacteria,37,Mesophiles
Mycobacterium vicinigordonae,BM,0,0.982,0,0.018,BM,RF,Bacteria,30,Mesophiles
Mycolicibacterium aichiense,BM,0.006,0.978,0,0.016,BM,RF,Bacteria,37,Mesophiles
Mycolicibacterium arabiense,BM,0,0.94,0,0.06,BM,RF,Bacteria,28,Mesophiles
Mycolicibacterium smegmatis,BM,0,0.966,0,0.034,BM,RF,Bacteria,37,Mesophiles
Mycoplasma crocodyli MP145,BM,0.002,0.954,0.022,0.022,BM,RF,Bacteria,37,Mesophiles
Mycoplasma feriruminatoris,BM,0.002,0.98,0,0.018,BM,RF,Bacteria,37,Mesophiles
Mycoplasma nasistruthionis,BM,0.002,0.994,0.004,0,BM,RF,Bacteria,37,Mesophiles
Mycoplasmopsis bovigenitalium,BM,0,0.998,0,0.002,BM,RF,Bacteria,37,Mesophiles
Mycoplasmopsis californica,BM,0,0.998,0,0.002,BM,RF,Bacteria,37,Mesophiles
Mycoplasmopsis pulmonis,BM,0.004,0.95,0.002,0.044,BM,RF,Bacteria,37,Mesophiles
Myroides profundi,BM,0.01,0.912,0.044,0.034,BM,RF,Bacteria,18,Mesophiles
Nannizzia gypsea CBS 118893,E,0.002,0.004,0.994,0,E,RF,Eukaryota,24,Mesophiles
Natrarchaeobaculum aegyptiacum,THP,0.98,0,0,0.02,AM,RF,Archaea,55,Thermophiles
Natrialba aegyptia DSM 13077,AM,0.984,0,0,0.016,AM,RF,Archaea,37,Mesophiles
Natrinema salaciae,AM,0.994,0,0,0.006,AM,RF,Archaea,45,Mesophiles
Niastella koreensis GR20-10,BM,0,0.996,0,0.004,BM,RF,Bacteria,26,Mesophiles
Nitrospirillum amazonense CBAmc,BM,0.014,0.95,0,0.036,BM,RF,Bacteria,30,Mesophiles
Nocardia brasiliensis,BM,0,1,0,0,BM,RF,Bacteria,37,Mesophiles
Nocardia yunnanensis,BM,0.014,0.87,0,0.116,BM,RF,Bacteria,28,Mesophiles
Nonomuraea coxensis DSM 45129,BM,0.004,0.844,0,0.152,BM,RF,Bacteria,29,Mesophiles
Oceanithermus profundus DSM 14977,THP,0,0.062,0,0.938,THP,RF,Bacteria,60,Thermophiles
Ogataea parapolymorpha DL-1,E,0,0,1,0,E,RF,Eukaryota,25,Mesophiles
Ogataea polymorpha,E,0.006,0.046,0.93,0.018,E,RF,Eukaryota,25,Mesophiles
Paenibacillus dendritiformis,BM,0.018,0.762,0,0.22,BM,RF,Bacteria,37,Mesophiles
Paenibacillus odorifer,BM,0,1,0,0,BM,RF,Bacteria,30,Mesophiles
Paludibaculum fermentans,BM,0,0.614,0,0.386,BM,RF,Bacteria,25,Mesophiles
Paraburkholderia acidiphila,BM,0,0.974,0,0.026,BM,RF,Bacteria,28,Mesophiles
Paraburkholderia atlantica,BM,0,0.944,0,0.056,BM,RF,Bacteria,28,Mesophiles
Paraburkholderia caffeinilytica,BM,0,0.992,0,0.008,BM,RF,Bacteria,28,Mesophiles
Parageobacillus thermoglucosidasius,THP,0,0.082,0,0.918,THP,RF,Bacteria,55,Thermophiles
Paraglaciecola psychrophila 170,BM,0,0.808,0,0.192,BM,RF,Bacteria,15,Mesophiles
Pedobacter psychrophilus,BM,0.008,0.962,0,0.03,BM,RF,Bacteria,16,Mesophiles
Penicillium expansum,E,0,0,1,0,E,RF,Eukaryota,24,Mesophiles
Penicillium subrubescens,E,0,0,1,0,E,RF,Eukaryota,25,Mesophiles
Petrotoga halophila DSM 16923,THP,0.014,0.13,0.002,0.854,THP,RF,Bacteria,60,Thermophiles
Petrotoga mexicana DSM 14811,THP,0.004,0.034,0,0.962,THP,RF,Bacteria,55,Thermophiles
Petrotoga sibirica DSM 13575,THP,0,0.004,0,0.996,THP,RF,Bacteria,55,Thermophiles
Phytohabitans suffuscus,BM,0,0.98,0,0.02,BM,RF,Bacteria,28,Mesophiles
Planifilum fulgidum,THP,0,0.01,0,0.99,THP,RF,Bacteria,60,Thermophiles
Pleurotus pulmonarius,E,0,0,1,0,E,RF,Eukaryota,22,Mesophiles
Polaribacter pacificus,BM,0.008,0.966,0,0.026,BM,RF,Bacteria,16,Mesophiles
Protomyces lactucae-debilis,E,0,0.002,0.998,0,E,RF,Eukaryota,25,Mesophiles
Pseudomonas asplenii,BM,0,1,0,0,BM,RF,Bacteria,28,Mesophiles
Pseudomonas monsensis,BM,0,0.996,0,0.004,BM,RF,Bacteria,28,Mesophiles
Pseudomonas silesiensis,BM,0,0.996,0,0.004,BM,RF,Bacteria,28,Mesophiles
